课程：计算机网络
来源ID：source_05e11028da
切片数：1431
转写字符数：1298239
课程名称：计算机网络
录播ID：29169
学年：2025-2026
学期：春季
来源URL：https://course.ynu.edu.cn/learn/videoreview/2cb25efa8cb34dfa97767a0e2c986b15?id=29169&schoolYear=2025-2026&semester=春季

===== 课堂语音转写 =====

--- 1 / 5 / 00:00:35 - 00:03:26 ---
[00:00:35] 签个到，
[00:10:32] 它采取是自闭向下的方式来学习计算机网络，
[00:10:36] 那考虑的是从这个简单像复杂的这样一个学习的这样一个过程，
[00:10:42] 那因为我们普通同学，
[00:10:44] 我们普通用户的话，

--- 1 / 5 / 00:10:45 - 00:12:15 ---
[00:10:45] 我们使用计算机网络更多的话就是在应用层里面，
[00:10:49] 那比如说我们用浏览器来访问一个网站，
[00:10:53] 我们拿手机的APP，
[00:10:54] 然后来这个访问对应的这样一些应用，
[00:10:57] 那在这个过程里边，
[00:10:58] 我们实际上就在应用层里边来使用网络是说。
[00:11:02] 和普通用户接触的最为广泛的计算机网络的层次的话是应用层，
[00:11:07] 那它对应用层的话也是最熟悉的，
[00:11:10] 所以我们从大家最熟悉的这一个方面的话来入手，
[00:11:13] 来开始深入的来学习计算机网络，
[00:11:16] 所以我们在最善于这个层次的话，
[00:11:17] 就是来学习一下，
[00:11:19] 计算机网络应用层的相关的这样一些网络协议，
[00:11:22] 然后了解这些应用层怎么针对不同的这样一些网络应用的需求，
[00:11:28] 构建出不同的网络应用协议，
[00:11:30] 然后啊，
[00:11:31] 用这些网络应用协议的话，
[00:11:32] 来让这个，
[00:11:34] 这个网络的应用在这个建算机网络里边得到良好的这样一个实现，
[00:11:39] 好所以在这个层次里边，
[00:11:41] 我们会看到这个层次里边的这个计算机网络协议的话也是最多的，
[00:11:46] 那比如说我们来访问网站需要用到SDB的协议，
[00:11:50] 我们发送邮件需要用到email的这样一些对应的SMTP的这样一些协议，
[00:11:55] 那我们来在网络上进行对应的域名，
[00:11:59] 那我们需要用到DNS的协议等等。
[00:12:02] 等等，
[00:12:02] 那我们要传输文件话，
[00:12:04] 我们需要们FTP的协议，
[00:12:05] 那我们希望大家通过这个层次的学习以后，
[00:12:09] 知道这个网络协议它的这样一些特性，
[00:12:12] 然后了解针对于不同的网络应用，

--- 1 / 5 / 00:12:15 - 00:13:36 ---
[00:12:15] 我们需要制定相应的规则，
[00:12:16] 而基于规则化来形成这样一些协议，
[00:12:20] 然后的话来实现这个应用的这的顺利开展，
[00:12:24] 那在这个层次里边，
[00:12:25] 我们还是要学习一个比较特殊的一个地方，
[00:12:27] 那这个的话，
[00:12:28] 相信于是大家这个软件工程同学的强项，
[00:12:30] 就我们在这一章节里边会做一些应用层的这样一个协议编程，
[00:12:35] 那我们最终使用这个计算机网络，
[00:12:39] 从网络工程的同学出发的话，
[00:12:41] 你大概率不会深入到计算机网络的体系里边，
[00:12:45] 然后来配置计算机网络，
[00:12:48] 来对这些硬件设备做配置，
[00:12:49] 那你更多要做这个事情的话，
[00:12:51] 就我现在有这样一个网络环境，
[00:12:53] 然后我编写一个应用程序，
[00:12:55] 然后让的应用程序的话，
[00:12:57] 能够使用这样一个计算机网络这样一个环境，
[00:13:00] 那这个时候话就涉及到。
[00:13:02] 一个应用协议的这个编程，
[00:13:04] 那我们在又对应的一些高级编程语言，
[00:13:06] 然后编写出对应的程序代码，
[00:13:08] 那在程序代码里边来调用针对于网络接口的这样一些网络函数，
[00:13:14] 或者是对应的类，
[00:13:15] 然后还生成相应的这样一个通信的接口，
[00:13:18] 那这样的话，
[00:13:19] 你的应用产生的数据就得基基于这样一些接口，
[00:13:22] 然后传导到操作系统里边，
[00:13:24] 然后再经过操作系统本身配置好的网络环境，
[00:13:27] 就可以互联网的话来进行交付，
[00:13:30] 那这个的话也是最直观的使用计算机网络这样一些方式，
[00:13:34] 所以我们在第三的话，
[00:13:35] 还有一部分内容的话，

--- 1 / 5 / 00:13:36 - 00:15:04 ---
[00:13:36] 就是应用层的这样一个协议编程，
[00:13:38] 让大家看一下如何用程序的话来使用网络。
[00:13:43] 好，
[00:13:44] 那了解运营层以后，
[00:13:45] 那我们接下来的话就要深入的再深入的往下来看一下计算机网络，
[00:13:51] 那我们会看到传输层，
[00:13:53] 那我们来看一下传输层哪些主要的原理，
[00:13:55] 那你的一个应用层，
[00:13:57] 你的一个应用程序产生了数据以后，
[00:14:00] 发现了这个网络，
[00:14:01] 那你的数据在传传输的过程里面是否得到了可靠的传输，
[00:14:06] 是否能够以尽快的速度得到传输，
[00:14:09] 然后在传输层里边，
[00:14:10] 我们如何根据不同的这样的目的的话，
[00:14:14] 来选择不同的传输层的协议，
[00:14:16] 那我们看到我要如果使用的是一个可靠数据传输，
[00:14:20] 希望数据的话，
[00:14:21] 在传输过程里边不会丢失，
[00:14:23] 传输过程里面出错的话能够重发，
[00:14:26] 那我就需要来选择TCP的协议，
[00:14:29] 用这个协议的话，
[00:14:30] 在传输层里边来传输，
[00:14:32] 我从应用层里边传递下来这样一些应用报文，
[00:14:35] 好，
[00:14:36] 那如果我现在希望是我把我的数据以尽快的速度把它发送出去，
[00:14:40] 即使出现一点这个错误或者是丢失也没关系。
[00:14:43] 这那我就给他选择udp的这样一个协议，
[00:14:46] 所以在这个层次里边，
[00:14:47] 我们会看到计算机网络为有的这个终端的应用层的用户的话，
[00:14:52] 提供了两种不同质量的网络的这样一个传输的这样一个服务，
[00:14:56] 那为了支撑这两种传输服务的话，
[00:14:59] 它又设计了两种不同的主要的这样一个计算机网络的协议，
[00:15:03] 一个pcp，

--- 1 / 5 / 00:15:04 - 00:16:26 ---
[00:15:04] 一个udp，
[00:15:05] 所以在这三个里边，
[00:15:06] 我们重点的话，
[00:15:07] 就基于TCP和udp协议的话，
[00:15:09] 来学习传输中的主要这个原理，
[00:15:12] 好，
[00:15:13] 那了解传输人以后，
[00:15:14] 我们再下来的话，
[00:15:15] 就到了网络层，
[00:15:16] 那网络层的话，
[00:15:17] 它主要的这个关注的问题的话，
[00:15:20] 就我现在要为我的这个上层用户提供可靠数据传输，
[00:15:25] 或者是尽快的这样的数据传输，
[00:15:27] 那我的数据的话，
[00:15:29] 需要从我的这个最开始的主机传到网络交换设备上来，
[00:15:34] 在经过网络交换设备的不断的传递以后，
[00:15:37] 到达目标主迹，
[00:15:38] 从而穿过一个复杂的网络。
[00:15:41] 在这个过程里边，
[00:15:42] 我的数据如何从一。
[00:15:43] 一个一个中间的这样一些交换设备的话，
[00:15:46] 最终的话正确的到达目标主机，
[00:15:49] 那我们就需要来解决这样一个问题，
[00:15:51] 就是你的数据如果在具体的不同设备之间的话，
[00:15:54] 正常的来进行传递，
[00:15:55] 然后在复杂的网络环境里边找到一条最好的最优的可用的路径，
[00:16:00] 最终的话把数据的话传送到目标的主机上，
[00:16:04] 那就需要了解网络层的主要原理，
[00:16:06] 那在层次里边，
[00:16:08] 我们主要要学习对应的，
[00:16:10] 我们计算机网络里边最重核心的一个协议，
[00:16:13] IP的这样一个协议，
[00:16:15] 那我们要通过IP协议来认识到我们如何用IP地址来为每一个对应的硬件的这个设备，
[00:16:22] 确定一个网络这样一个他的这样一个身份，
[00:16:25] 然后的话，

--- 1 / 5 / 00:16:26 - 00:17:55 ---
[00:16:26] 如果经过一系列路由算法的话，
[00:16:29] 让它能够实现一条最优的路径，
[00:16:31] 然后的话在网络里边能够得到一个有效的传输，
[00:16:35] 所以在这个层次里边，
[00:16:36] 我们要学习网络IP的这样一个协议地址，
[00:16:40] 然后需要学习对应的路由的这样一些核心算法。
[00:16:43] 好，
[00:16:44] 那这个是这个网络层，
[00:16:46] 那再下来的话，
[00:16:47] 就最下面一个层次，
[00:16:49] 就是数据链路层和局域网，
[00:16:51] 那数据另外个层的话，
[00:16:52] 主要关注的是你的这个数据包，
[00:16:55] 那经过了这应用层传输，
[00:16:57] 等网络层以后，
[00:16:59] 最终的话要形成对应的传输信号传到网络里边去，
[00:17:03] 那我们看到我们在这个计算机网络里边，
[00:17:06] 我们最终我得这个基融网络数据传到网络上以后的话，
[00:17:11] 常见的话有三种信号，
[00:17:13] 一种的话是电信号通过这个比如说双绞线来进行传输，
[00:17:18] 那第二种是光信号通过光纤来进行传输，
[00:17:21] 那还有一种的话是无线信号，
[00:17:23] 通过无线的这样一个WiFi的话来进行传输，
[00:17:26] 那这时候的话就涉及到你如何针对不同的传输的这样一个介质的话，
[00:17:31] 把你最终的数据化分装成为能够在对应的传输介质里边有效传输的这样一个最终的数据帧，
[00:17:39] 好，
[00:17:39] 那就涉及到数据链路层的这样一些主要的这样一些概念和。
[00:17:43] 标准，
[00:17:44] 然后在这个层次里边，
[00:17:46] 我们会看到，
[00:17:47] 由于我的计算机的这个网络在发展过程里边，
[00:17:50] 它里边加入了很多的通信的技术，
[00:17:53] 传输的这样一些技术，

--- 1 / 5 / 00:17:55 - 00:19:03 ---
[00:17:55] 那不同的传输设备，
[00:17:56] 不同的传输技术的话，
[00:17:58] 会在底层的话，
[00:17:59] 构成不同的这个网络，
[00:18:00] 那在计算机网络发展过程里边以来，
[00:18:03] 最底层的主管技术的话，
[00:18:04] 是有很多类别的，
[00:18:06] 那我们在这个阶段的话，
[00:18:07] 我们主要去学习局域网，
[00:18:09] 就是以太网的这样一个核心的这样一个网络，
[00:18:12] 这样一个构建，
[00:18:13] 那在于层市里的话，
[00:18:14] 我们就要学习一个特殊的设备，
[00:18:16] 就交换机的设备，
[00:18:17] 我们要看一下交换机设备如何在数据链路成立边，
[00:18:22] 把它接收到的数据包正确的转发到下一跳的这样一个这个设备上来，
[00:18:27] 那我们要看一下这这块内容，
[00:18:29] 那么在这块内容里边，
[00:18:30] 我还涉及到一个重要的核心的内容，
[00:18:32] 就是差错检测，
[00:18:34] 差错控制的这样一个原理，
[00:18:36] 那因为你的数据信号现在发到网络上了，
[00:18:39] 然后通过关信号，
[00:18:40] 通过电信号来进行传输，
[00:18:42] 那个传输过程里边如果。
[00:18:43] 保证你的传输的信号不会出错，
[00:18:46] 那万一出错以后如何来进行弥补，
[00:18:49] 如何来进行重发，
[00:18:50] 或者是怎么来进行处理，
[00:18:52] 那就涉及到一个差错控制这样一个原理，
[00:18:54] 好，
[00:18:55] 那这个的话就是数据链合层，
[00:18:57] 那到了数据链路层以后，
[00:18:58] 在原来的这个计算机网络的五层结构里边，
[00:19:01] 还有一个层次是物理层，

--- 1 / 5 / 00:19:03 - 00:20:24 ---
[00:19:03] 那物理层的话就涉及到你的对应的电信号关信号如何在通信的介值里边有效进行传输，
[00:19:10] 如何进行平分复用，
[00:19:12] 失分复用等等，
[00:19:13] 那涉及到通信方面的一些知识，
[00:19:15] 那这个的话，
[00:19:16] 我们这个软件学院同学的话，
[00:19:19] 我们通信方面的这些课程的话是没有涉及到的，
[00:19:22] 而且的话这部分内容的话，
[00:19:24] 实际上大家在后续的话，
[00:19:26] 这个基本上也用不到，
[00:19:27] 所以的话，
[00:19:28] 物理层的话，
[00:19:28] 我们在这个课程里边就不再讲授这个物理层了，
[00:19:31] 那我们就要针对于TCP的四层结构，
[00:19:34] 那就应用成传输的网络层和数据链路层来展开整一个计算机网络深入学习。
[00:19:42] 好，
[00:19:42] 那这要是我们整个课。
[00:19:44] 课程大概要讲的这个内容，
[00:19:45] 那第一节课的话，
[00:19:46] 为了给大家加深印象，
[00:19:48] 那我们整体的把它这个要学习内容的话，
[00:19:51] 给大家做一个这个梳理，
[00:19:54] 那我们教材的话，
[00:19:55] 主要是用到这个这个教材就计算机网络，
[00:19:58] 然后置顶下下方吧，
[00:20:00] 那这个这个书的这个英文版的话，
[00:20:02] 现在已经出到了第九版，
[00:20:04] 那我们这个课程的话，
[00:20:06] 主要针对于上一版的版本，
[00:20:08] 第八版，
[00:20:09] 因为第八版和第九版的话，
[00:20:11] 实际上区别并不是太大，
[00:20:13] 第九版主要改的是在最后的两张这个无线和这个网络安全方面的话，
[00:20:19] 增加了很多的内容，
[00:20:20] 所以的话，
[00:20:21] 这个我们这次这学期的这个课程的话，

--- 1 / 5 / 00:20:24 - 00:21:48 ---
[00:20:24] 仍然针对是第八版的这个这个教材，
[00:20:28] 那大家也可以找这个中文版，
[00:20:30] 那机械资工业出版社的话，
[00:20:33] 把第八版块翻译成了中文，
[00:20:36] 那因为计算机网络本身的这个知识的话，
[00:20:39] 也非常的这个这个困难，
[00:20:42] 然后它里面知识点。
[00:20:44] 也非常多，
[00:20:45] 所以的话，
[00:20:45] 我们的授课的话，
[00:20:46] 要采取中文版的这个授课方式，
[00:20:48] 那期中考试，
[00:20:49] 期末考试的话，
[00:20:50] 都是有中文的这个来出题，
[00:20:53] 所以大家这个有能力的话，
[00:20:55] 你看下英文版的，
[00:20:56] 可能理解的更加深深入，
[00:20:58] 那如果英文不不太好的话，
[00:21:00] 找一下中文的教材。
[00:21:02] 那这个教材的话，
[00:21:04] 不管你在网上找资源，
[00:21:05] 或者是你购买这个书籍都可以，
[00:21:08] 但是的话大家一定要找一个这个教材，
[00:21:10] 因为我们在每章完成以后都会有课后的练习和作业，
[00:21:15] 所以你要能够找到准确的这个题目，
[00:21:20] 好那这教材的话，
[00:21:22] 这个它是这国际上比较流行的一个计算机网络这样一个经典教材，
[00:21:27] 数学化的教材的网站的话，
[00:21:29] 也这个发布了和教材相关的一些课件，
[00:21:32] 还有这个试验的这样一些这个案例等等，
[00:21:37] 那大家有兴趣的话，
[00:21:38] 可以到这个对应的教材网站上看一下他最新的版本，
[00:21:41] 它的一些这个课程资源。
[00:21:43] 那第二个网站的话，
[00:21:45] 大家注意看一下这个IETORG的这个网站，

--- 1 / 5 / 00:21:48 - 00:23:14 ---
[00:21:48] 那我们讲到了计算机网络的核心是计算机的各种通信协议，
[00:21:53] 那这种通信协议，
[00:21:54] 你能够在什么地方能够看到非常全面的通信协议呢？
[00:21:58] 那就在这个it org的这个网站上，
[00:22:01] 那所有的计算机网络。
[00:22:03] 核心的协议的话，
[00:22:04] 最早的话都是通过RC的文档来发布出来的，
[00:22:08] 然后最终的话形成这个标准的协议，
[00:22:11] 那整一个计算机网络协议的这样一个形成过程的话，
[00:22:14] 是从RFC文档最终的话变成计算机标准协议的这样一个过程，
[00:22:19] 那所有的阿C文档的话，
[00:22:21] 都能够在这个机构里边，
[00:22:23] 在这个机构下面网站的话找到他，
[00:22:26] 所以的话，
[00:22:26] 大家如果对计算机网络非常这感兴趣，
[00:22:29] 需要深入学习的话，
[00:22:31] 可以先到这个网站上看一下，
[00:22:33] 一些相关的计算机网络，
[00:22:35] 那我看到计算机网络发展过程里边，
[00:22:38] 每一个新的计算机网络的技术的话，
[00:22:41] 它一定是先通过RFC文档形成技术的提议以后，
[00:22:45] 经过对应的实践验证，
[00:22:47] 然后得到大规模推广以后，
[00:22:48] 才会成为我们现在在书上要学习到的这样一些标准的计算机网络的这样一个协议，
[00:22:56] 那相关的这样一些技术发展的过程的话，
[00:22:59] 在RC文档里的话，
[00:23:00] 体现的非常的直观，
[00:23:02] 所以我们推荐第二。
[00:23:03] 对吧，
[00:23:03] 参考网站的话是这个网站好，
[00:23:06] 然后的话参考的这个书的话，
[00:23:08] 主要是两本，
[00:23:09] 一本是TCVIP的这个详解，
[00:23:11] 基本是计算机网络这个第八版，

--- 1 / 5 / 00:23:14 - 00:24:37 ---
[00:23:14] 谢谢谢显老师的这个教材，
[00:23:16] 那这个的话是这个中文版中中这个中国老师写的这样一个教材，
[00:23:21] 那他的思路和我们的这个教材的话正好是相反的，
[00:23:25] 它采取是自底向上的这样一个学习过程，
[00:23:29] 主要他先会讲物理层，
[00:23:30] 然后再讲对应的数据链路层，
[00:23:33] 再讲这一个网络层，
[00:23:34] 再讲传修层，
[00:23:35] 再讲这个应用层，
[00:23:37] 自底下上，
[00:23:38] 然后从硬件到软件的这样一些学习的一个过程，
[00:23:42] 那这个的话也他讲的话也非常好，
[00:23:46] 所以的话，
[00:23:46] 如果你对字顶向下理解的非常困难的话，
[00:23:49] 你可以换一个思路，
[00:23:51] 看一下这本教材，
[00:23:52] 看看从底往上的这样一个学习过程，
[00:23:56] 好，
[00:23:56] 那另外一个TC dip的详解主要是协议，
[00:23:59] 那在对t cap协议站里边重点的核心协议的话，
[00:24:02] 做了这个介绍。
[00:24:03] 那这些的话都能够帮助我们更好的学习，
[00:24:06] 我们这门课程，
[00:24:08] 所以这个的话是相关的网络资料和参考书，
[00:24:10] 大家下来的话可以自己找一下。
[00:24:12] 好，
[00:24:15] 那我们第八版教材的话，
[00:24:16] 它本身的话，
[00:24:17] 它的章节有八章内容，
[00:24:20] 那因为我们的课时的话是五十四个课时，
[00:24:23] 那这个不足以把所有内容的话给它讲完，
[00:24:27] 因为每章里边涉及到协议比较多，
[00:24:30] 它里面知识点也非常多，
[00:24:31] 虽然我们这个课程的话，
[00:24:33] 主要是这个针对前六章内容的话，
[00:24:36] 给大家做这个介绍，

--- 1 / 5 / 00:24:37 - 00:25:57 ---
[00:24:37] 那第一章的话，
[00:24:38] 我们讲一下计算机网络基本的概念，
[00:24:40] 还有它体系，
[00:24:41] 还有它分层的这个模型，
[00:24:43] 然后第二张的话讲应用层，
[00:24:45] 第三章讲传输层，
[00:24:46] 那第四章的话，
[00:24:48] 原来在这个第六版，
[00:24:51] 第四版之到第四版之间的话，
[00:24:53] 他是把这个第四章第五章的话合作一张称为网络层来做介绍，
[00:24:58] 因为最早的计算机网络的话，
[00:25:00] 在网络层里边，
[00:25:02] 它是没有这个SDN的这个技术的数据化，
[00:25:04] 它的控制和对应的数据的传输的话是合在一块的，
[00:25:10] 那在这个近十几年的话出。
[00:25:13] G样SDN的软件定义网络的这样一个技术以后的话，
[00:25:16] 它的控制层面和对应的数据层面的话就给分离开，
[00:25:20] 然后来单独完成相关的这样一些核心功能，
[00:25:23] 所以化为了适应这样一个技术的发展，
